latitude,longitude
-9.149999999999999,-39.0
-9.149999999999999,-38.75
-9.149999999999999,-38.5
-9.149999999999999,-38.25
-9.149999999999999,-38.0
-9.149999999999999,-37.75
-9.149999999999999,-37.5
-9.149999999999999,-37.25
-9.149999999999999,-37.0
-9.149999999999999,-36.75
-9.149999999999999,-36.5
-9.149999999999999,-36.25
-9.149999999999999,-36.0
-9.149999999999999,-35.75
-9.149999999999999,-35.5
-8.899999999999999,-45.0
-8.899999999999999,-44.75
-8.899999999999999,-44.5
-8.899999999999999,-44.25
-8.899999999999999,-44.0
-8.899999999999999,-43.75
-8.899999999999999,-43.5
-8.899999999999999,-43.25
-8.899999999999999,-43.0
-8.899999999999999,-42.75
-8.899999999999999,-42.5
-8.899999999999999,-42.25
-8.899999999999999,-42.0
-8.899999999999999,-41.75
-8.899999999999999,-41.5
-8.899999999999999,-41.25
-8.899999999999999,-41.0
-8.899999999999999,-40.75
-8.899999999999999,-40.5
-8.899999999999999,-40.25
-8.899999999999999,-40.0
-8.899999999999999,-39.75
-8.899999999999999,-39.5
-8.899999999999999,-39.25
-8.899999999999999,-39.0
-8.899999999999999,-38.75
-8.899999999999999,-38.5
-8.899999999999999,-38.25
-8.899999999999999,-38.0
-8.899999999999999,-37.75
-8.899999999999999,-37.5
-8.899999999999999,-37.25
-8.899999999999999,-37.0
